,region_1,region_2,winery_name,Location1,Location2,Latitude,Longitude
726,Washington,Washington Other,Two Vines winery,Two Vines winery Washington,Two Vines winery Washington Other,47.762217,-122.149703
727,Russian River Valley,Sonoma,Ministry of the Vinterior winery,Ministry of the Vinterior winery Russian River Valley,Ministry of the Vinterior winery Sonoma,38.4836416,-122.8175328
728,California,California Other,One Leaf winery,One Leaf winery California,One Leaf winery California Other,38.2278022,-122.2537916
729,Columbia Valley (WA),Columbia Valley,Sagelands winery,Sagelands winery Columbia Valley (WA),Sagelands winery Columbia Valley,46.06544,-118.3389323
730,Lake Erie,Finger Lakes,Johnson Estate winery,Johnson Estate winery Lake Erie,Johnson Estate winery Finger Lakes,42.3071135,-79.606371
731,California,California Other,Koz winery,Koz winery California,Koz winery California Other,38.67329640000001,-122.9340409
732,California,California Other,Ardiri Winery and Vineyards winery,Ardiri Winery and Vineyards winery California,Ardiri Winery and Vineyards winery California Other,38.0196062,-122.2738228
733,Horse Heaven Hills,Columbia Valley,Canoe Ridge winery,Canoe Ridge winery Horse Heaven Hills,Canoe Ridge winery Columbia Valley,46.06766469999999,-118.3381224
734,Sonoma County-Napa County,Napa-Sonoma,Michael Pozzan winery,Michael Pozzan winery Sonoma County-Napa County,Michael Pozzan winery Napa-Sonoma,38.2997101,-122.2892802
735,Sonoma County,Sonoma,Ancient Oak Cellars winery,Ancient Oak Cellars winery Sonoma County,Ancient Oak Cellars winery Sonoma,38.4894667,-122.735875
736,Sonoma Valley,Sonoma,Canihan winery,Canihan winery Sonoma Valley,Canihan winery Sonoma,38.273313,-122.431212
737,Contra Costa County,Central Coast,Cline winery,Cline winery Contra Costa County,Cline winery Central Coast,38.2141294,-122.458146
738,Santa Barbara County,Central Coast,Collection 35 winery,Collection 35 winery Santa Barbara County,Collection 35 winery Central Coast,34.4128077,-119.690298
739,Mount Veeder,Napa,Foyt Family winery,Foyt Family winery Mount Veeder,Foyt Family winery Napa,30.2197482,-98.7025297
740,Columbia Valley (WA),Columbia Valley,Novelty Hill winery,Novelty Hill winery Columbia Valley (WA),Novelty Hill winery Columbia Valley,47.7353849,-122.1534983
741,Columbia Valley (WA),Columbia Valley,Scarborough winery,Scarborough winery Columbia Valley (WA),Scarborough winery Columbia Valley,45.9570837,-119.6095194
742,Columbia Valley (WA),Columbia Valley,Hogue winery,Hogue winery Columbia Valley (WA),Hogue winery Columbia Valley,46.2182466,-119.7312131
743,Columbia Valley (WA),Columbia Valley,Mercer winery,Mercer winery Columbia Valley (WA),Mercer winery Columbia Valley,46.2200407,-119.7255732
744,Yakima Valley,Columbia Valley,Airfield Estates winery,Airfield Estates winery Yakima Valley,Airfield Estates winery Columbia Valley,46.2205737,-119.7769647
745,Amador County,Sierra Foothills,Deaver winery,Deaver winery Amador County,Deaver winery Sierra Foothills,38.5416174,-120.7920542
746,Eola-Amity Hills,Willamette Valley,Ransom winery,Ransom winery Eola-Amity Hills,Ransom winery Willamette Valley,45.29008719999999,-122.9992019
747,Rogue Valley,Southern Oregon,Simple Machine winery,Simple Machine winery Rogue Valley,Simple Machine winery Southern Oregon,42.2396259,-122.772696
748,Russian River Valley,Sonoma,Uptick Vineyards winery,Uptick Vineyards winery Russian River Valley,Uptick Vineyards winery Sonoma,38.4836416,-122.8175328
749,Sonoma County,Sonoma,Wild Thing winery,Wild Thing winery Sonoma County,Wild Thing winery Sonoma,38.4715899,-122.7424107
750,Paso Robles,Central Coast,Derby winery,Derby winery Paso Robles,Derby winery Central Coast,35.6203368,-120.6869609
751,Sonoma Mountain,Sonoma,Envolve winery,Envolve winery Sonoma Mountain,Envolve winery Sonoma,38.2931378,-122.4594537
752,Chehalem Mountains,Willamette Valley,Erath winery,Erath winery Chehalem Mountains,Erath winery Willamette Valley,45.5308691,-122.6863473
753,California,California Other,Newman's Own winery,Newman's Own winery California,Newman's Own winery California Other,37.3003493,-122.1118429
754,Carneros,Napa-Sonoma,Domaine Carneros winery,Domaine Carneros winery Carneros,Domaine Carneros winery Napa-Sonoma,38.25552,-122.3513889
755,Napa Valley,Napa,Jamieson Ranch winery,Jamieson Ranch winery Napa Valley,Jamieson Ranch winery Napa,38.4887991,-122.4286864
756,Dundee Hills,Willamette Valley,Knudsen winery,Knudsen winery Dundee Hills,Knudsen winery Willamette Valley,45.2801789,-123.063368
757,Sonoma County,Sonoma,Rancho Zabaco winery,Rancho Zabaco winery Sonoma County,Rancho Zabaco winery Sonoma,38.6536427,-122.9205427
758,Alexander Valley,Sonoma,Sanglier Cellars winery,Sanglier Cellars winery Alexander Valley,Sanglier Cellars winery Sonoma,38.49503929999999,-122.7820534
759,Columbia Valley (WA),Columbia Valley,Thurston Wolfe winery,Thurston Wolfe winery Columbia Valley (WA),Thurston Wolfe winery Columbia Valley,46.219493,-119.776163
760,Yakima Valley,Columbia Valley,Two Mountain winery,Two Mountain winery Yakima Valley,Two Mountain winery Columbia Valley,46.4368164,-120.2708172
761,Horse Heaven Hills,Columbia Valley,14 Hands winery,14 Hands winery Horse Heaven Hills,14 Hands winery Columbia Valley,46.2112238,-119.7465656
762,Sierra Foothills,Sierra Foothills,Andis winery,Andis winery Sierra Foothills,Andis winery Sierra Foothills,38.5214988,-120.8182701
763,California,California Other,Borra winery,Borra winery California,Borra winery California Other,38.08733369999999,-121.3000272
764,Chalk Hill,Sonoma,Chalk Hill winery,Chalk Hill winery Chalk Hill,Chalk Hill winery Sonoma,38.5682268,-122.7711839
765,Lodi,Central Valley,Hansen Cellars winery,Hansen Cellars winery Lodi,Hansen Cellars winery Central Valley,38.122947,-121.271479
766,New York,New York Other,Heron Hill winery,Heron Hill winery New York,Heron Hill winery New York Other,42.4499099,-77.20157069999999
767,California,California Other,Line 39 winery,Line 39 winery California,Line 39 winery California Other,42.4401941,-83.4373425
768,Paso Robles,Central Coast,Lone Madrone winery,Lone Madrone winery Paso Robles,Lone Madrone winery Central Coast,35.5553058,-120.7596445
769,Livermore Valley,Central Coast,McGrail winery,McGrail winery Livermore Valley,McGrail winery Central Coast,37.6504031,-121.6950898
770,Napa Valley,Napa,Clos Pegase winery,Clos Pegase winery Napa Valley,Clos Pegase winery Napa,38.572341,-122.555126
771,Santa Ynez Valley,Central Coast,Comartin winery,Comartin winery Santa Ynez Valley,Comartin winery Central Coast,34.5866453,-120.103292
772,Sonoma Mountain,Sonoma,Covenant winery,Covenant winery Sonoma Mountain,Covenant winery Sonoma,37.8821837,-122.3026462
773,Paso Robles,Central Coast,Domaine Degher winery,Domaine Degher winery Paso Robles,Domaine Degher winery Central Coast,35.7293864,-120.7043811
774,Santa Barbara County,Central Coast,Hidden Jewel winery,Hidden Jewel winery Santa Barbara County,Hidden Jewel winery Central Coast,34.4206415,-119.6994278
775,Napa Valley,Napa,Altvs winery,Altvs winery Napa Valley,Altvs winery Napa,38.4322644,-122.2433149
776,Santa Ynez Valley,Central Coast,Archium winery,Archium winery Santa Ynez Valley,Archium winery Central Coast,34.5866453,-120.103292
777,Paso Robles,Central Coast,Asuncion Ridge winery,Asuncion Ridge winery Paso Robles,Asuncion Ridge winery Central Coast,35.6222099,-120.7155607
778,Russian River Valley,Sonoma,Paul Hobbs winery,Paul Hobbs winery Russian River Valley,Paul Hobbs winery Sonoma,38.4401811,-122.8581307
779,Russian River Valley,Sonoma,Marimar Estate winery,Marimar Estate winery Russian River Valley,Marimar Estate winery Sonoma,38.422216,-122.903572
780,Sonoma County,Sonoma,Matanzas Creek winery,Matanzas Creek winery Sonoma County,Matanzas Creek winery Sonoma,38.4029212,-122.6278191
781,Napa Valley,Napa,Patland winery,Patland winery Napa Valley,Patland winery Napa,38.3990083,-122.2927451
782,Monterey,Central Coast,Jekel winery,Jekel winery Monterey,Jekel winery Central Coast,36.3221292,-121.2614991
783,Santa Barbara County,Central Coast,Jaffurs winery,Jaffurs winery Santa Barbara County,Jaffurs winery Central Coast,34.4240982,-119.6834932
784,Napa Valley,Napa,Gibbs winery,Gibbs winery Napa Valley,Gibbs winery Napa,38.5431357,-122.4773995
785,Santa Cruz Mountains,Central Coast,Betwixt winery,Betwixt winery Santa Cruz Mountains,Betwixt winery Central Coast,37.7404736,-122.4045259
786,Paso Robles,Central Coast,San Simeon winery,San Simeon winery Paso Robles,San Simeon winery Central Coast,35.7065201,-120.6797824
787,California,California Other,Avant winery,Avant winery California,Avant winery California Other,38.4547526,-122.4314039
788,Central Coast,Central Coast,Barton winery,Barton winery Central Coast,Barton winery Central Coast,35.5734652,-120.7353093
789,Spring Mountain District,Napa,Brick & Mortar winery,Brick & Mortar winery Spring Mountain District,Brick & Mortar winery Napa,38.4627573,-122.3709112
790,Yountville,Napa,One winery,One winery Yountville,One winery Napa,38.4407712,-122.4008831
791,Sta. Rita Hills,Central Coast,Pace winery,Pace winery Sta. Rita Hills,Pace winery Central Coast,34.6659474,-120.1151818
792,Livermore Valley,Central Coast,Las Positas winery,Las Positas winery Livermore Valley,Las Positas winery Central Coast,37.6458024,-121.7704979
793,Paso Robles,Central Coast,Two Moons winery,Two Moons winery Paso Robles,Two Moons winery Central Coast,35.5817262,-120.6960022
794,Paso Robles,Central Coast,Volatus winery,Volatus winery Paso Robles,Volatus winery Central Coast,35.5746678,-120.7349415
795,Edna Valley,Central Coast,Zocker winery,Zocker winery Edna Valley,Zocker winery Central Coast,35.2273178,-120.5997553
796,Red Mountain,Columbia Valley,Hightower winery,Hightower winery Red Mountain,Hightower winery Columbia Valley,46.2993785,-119.4547286
797,Columbia Valley (WA),Columbia Valley,Full Pull & Friends winery,Full Pull & Friends winery Columbia Valley (WA),Full Pull & Friends winery Columbia Valley,47.5674296,-122.3354811
798,Columbia Valley (WA),Columbia Valley,Genoa winery,Genoa winery Columbia Valley (WA),Genoa winery Columbia Valley,47.769201,-122.1503337
799,Walla Walla Valley (WA),Columbia Valley,Bontzu winery,Bontzu winery Walla Walla Valley (WA),Bontzu winery Columbia Valley,46.068765,-118.3367963
800,Santa Cruz Mountains,Central Coast,Burrell School Vineyards winery,Burrell School Vineyards winery Santa Cruz Mountains,Burrell School Vineyards winery Central Coast,37.1213202,-121.9325755
801,Columbia Valley (WA),Columbia Valley,Stottle winery,Stottle winery Columbia Valley (WA),Stottle winery Columbia Valley,47.0723348,-122.7567208
802,Horse Heaven Hills,Columbia Valley,Stottle winery,Stottle winery Horse Heaven Hills,Stottle winery Columbia Valley,47.0723348,-122.7567208
803,Walla Walla Valley (WA),Columbia Valley,àMaurice winery,àMaurice winery Walla Walla Valley (WA),àMaurice winery Columbia Valley,46.08718289999999,-118.2018146
804,Yakima Valley,Columbia Valley,àMaurice winery,àMaurice winery Yakima Valley,àMaurice winery Columbia Valley,46.08718289999999,-118.2018146
805,Snipes Mountain,Columbia Valley,Brian Carter Cellars winery,Brian Carter Cellars winery Snipes Mountain,Brian Carter Cellars winery Columbia Valley,47.7513624,-122.158421
806,Carneros,Napa-Sonoma,Charthia winery,Charthia winery Carneros,Charthia winery Napa-Sonoma,38.32781019999999,-122.297156
807,Columbia Valley (WA),Columbia Valley,àMaurice winery,àMaurice winery Columbia Valley (WA),àMaurice winery Columbia Valley,46.08718289999999,-118.2018146
808,Sierra Foothills,Sierra Foothills,La Clarine Farm winery,La Clarine Farm winery Sierra Foothills,La Clarine Farm winery Sierra Foothills,38.6375699,-120.65689
809,Napa Valley,Napa,Maldonado winery,Maldonado winery Napa Valley,Maldonado winery Napa,38.25868260000001,-122.2736344
810,Napa Valley,Napa,Bougetz winery,Bougetz winery Napa Valley,Bougetz winery Napa,38.3385244,-122.2627095
811,Columbia Valley (WA),Columbia Valley,William Church winery,William Church winery Columbia Valley (WA),William Church winery Columbia Valley,47.3071039,-122.2255548
812,California,California Other,Congress Springs winery,Congress Springs winery California,Congress Springs winery California Other,37.247696,-122.079252
813,Lodi,Central Valley,Congress Springs winery,Congress Springs winery Lodi,Congress Springs winery Central Valley,38.1459407,-121.3077623
814,California,California Other,Jenica Peak winery,Jenica Peak winery California,Jenica Peak winery California Other,34.5902464,-120.2494059
815,Alexander Valley,Sonoma,Mazzocco winery,Mazzocco winery Alexander Valley,Mazzocco winery Sonoma,38.65663199999999,-122.8980217
816,Amador County,Sierra Foothills,Four Vines winery,Four Vines winery Amador County,Four Vines winery Sierra Foothills,38.4193784,-120.8431201
817,California,California Other,Four Vines winery,Four Vines winery California,Four Vines winery California Other,38.4359808,-122.8699293
818,Alexander Valley,Sonoma,J. Rickards winery,J. Rickards winery Alexander Valley,J. Rickards winery Sonoma,38.73860610000001,-122.9494658
819,Central Coast,Central Coast,Liberty School winery,Liberty School winery Central Coast,Liberty School winery Central Coast,42.4942615,-83.4747754
820,Yakima Valley,Columbia Valley,O•S Winery winery,O•S Winery winery Yakima Valley,O•S Winery winery Columbia Valley,46.6021673,-120.5046454
821,Columbia Valley (WA),Columbia Valley,Owen Roe winery,Owen Roe winery Columbia Valley (WA),Owen Roe winery Columbia Valley,46.5190467,-120.4462158
822,Howell Mountain,Napa,Howell Mountain Vineyards winery,Howell Mountain Vineyards winery Howell Mountain,Howell Mountain Vineyards winery Napa,38.576476,-122.458354
823,Columbia Valley (WA),Columbia Valley,J. Bookwalter winery,J. Bookwalter winery Columbia Valley (WA),J. Bookwalter winery Columbia Valley,46.2532833,-119.2968118
824,Columbia Valley (WA),Columbia Valley,Januik winery,Januik winery Columbia Valley (WA),Januik winery Columbia Valley,47.7353849,-122.1534983
825,Yountville,Napa,Chandon winery,Chandon winery Yountville,Chandon winery Napa,38.3958281,-122.3651095
826,Napa Valley,Napa,Frazier winery,Frazier winery Napa Valley,Frazier winery Napa,38.2767926,-122.2984062
827,Spring Mountain District,Napa,Frias winery,Frias winery Spring Mountain District,Frias winery Napa,38.3349532,-122.3200925
828,Russian River Valley,Sonoma,Orentano winery,Orentano winery Russian River Valley,Orentano winery Sonoma,37.984103,-122.4778347
829,Sonoma Coast,Sonoma,Keller Estate winery,Keller Estate winery Sonoma Coast,Keller Estate winery Sonoma,38.2003074,-122.5325661
830,Walla Walla Valley (WA),Columbia Valley,L'Ecole No. 41 winery,L'Ecole No. 41 winery Walla Walla Valley (WA),L'Ecole No. 41 winery Columbia Valley,46.0568338,-118.5813226
831,Sta. Rita Hills,Central Coast,Melville winery,Melville winery Sta. Rita Hills,Melville winery Central Coast,34.6659474,-120.1151818
832,Carneros,Napa-Sonoma,Gloria Ferrer winery,Gloria Ferrer winery Carneros,Gloria Ferrer winery Napa-Sonoma,38.2238192,-122.4722745
833,Stags Leap District,Napa,Hall winery,Hall winery Stags Leap District,Hall winery Napa,42.4912244,-83.47030579999999
834,Russian River Valley,Sonoma,River Road winery,River Road winery Russian River Valley,River Road winery Sonoma,38.45840949999999,-122.8821097
835,Napa Valley,Napa,Signorello winery,Signorello winery Napa Valley,Signorello winery Napa,38.37083579999999,-122.2960967
836,Santa Barbara County,Central Coast,Silver winery,Silver winery Santa Barbara County,Silver winery Central Coast,34.4210178,-119.6989002
837,Edna Valley,Central Coast,Wolff winery,Wolff winery Edna Valley,Wolff winery Central Coast,35.2198978,-120.5920166
838,Central Coast,Central Coast,Opolo winery,Opolo winery Central Coast,Opolo winery Central Coast,35.5918484,-120.8157511
839,Santa Lucia Highlands,Central Coast,Savannah-Chanelle winery,Savannah-Chanelle winery Santa Lucia Highlands,Savannah-Chanelle winery Central Coast,37.247696,-122.079252
840,Lodi,Central Valley,Van Ruiten winery,Van Ruiten winery Lodi,Van Ruiten winery Central Valley,38.1143472,-121.3200378
841,Cucamonga Valley,South Coast,Joseph Filippi winery,Joseph Filippi winery Cucamonga Valley,Joseph Filippi winery South Coast,34.1214118,-117.5323099
842,Lodi,Central Valley,Tortoise Creek winery,Tortoise Creek winery Lodi,Tortoise Creek winery Central Valley,38.149278,-121.341012
843,Calistoga,Napa,Vermeil winery,Vermeil winery Calistoga,Vermeil winery Napa,38.5771477,-122.579875
844,California,California Other,Woodbridge by Robert Mondavi winery,Woodbridge by Robert Mondavi winery California,Woodbridge by Robert Mondavi winery California Other,38.4414728,-122.4100923
845,Napa Valley,Napa,Black Stallion winery,Black Stallion winery Napa Valley,Black Stallion winery Napa,38.35983179999999,-122.2906388
846,California,California Other,Nica winery,Nica winery California,Nica winery California Other,38.4988438,-122.2937147
847,Shenandoah Valley (CA),Sierra Foothills,Los Portales winery,Los Portales winery Shenandoah Valley (CA),Los Portales winery Sierra Foothills,38.4795026,-120.8459206
848,Sonoma County,Sonoma,River Road winery,River Road winery Sonoma County,River Road winery Sonoma,38.45840949999999,-122.8821097
849,Lodi,Central Valley,Housley's Century Oak winery,Housley's Century Oak winery Lodi,Housley's Century Oak winery Central Valley,38.186461,-121.298564
850,California,California Other,Twisted winery,Twisted winery California,Twisted winery California Other,38.086227,-120.488498
851,Paso Robles,Central Coast,Four Sisters Ranch winery,Four Sisters Ranch winery Paso Robles,Four Sisters Ranch winery Central Coast,35.73077749999999,-120.6235954
852,Russian River Valley,Sonoma,Frei Brothers winery,Frei Brothers winery Russian River Valley,Frei Brothers winery Sonoma,38.4836416,-122.8175328
853,California,California Other,Loft winery,Loft winery California,Loft winery California Other,37.90524389999999,-122.3648838
854,Monterey,Central Coast,Loft winery,Loft winery Monterey,Loft winery Central Coast,36.6166986,-121.8997165
855,Napa Valley,Napa,Pazzo winery,Pazzo winery Napa Valley,Pazzo winery Napa,38.3231899,-122.224353
856,Carneros,Napa-Sonoma,Sean Minor winery,Sean Minor winery Carneros,Sean Minor winery Napa-Sonoma,38.4626697,-122.3711506
857,Carneros,Napa-Sonoma,Kirkland Signature winery,Kirkland Signature winery Carneros,Kirkland Signature winery Napa-Sonoma,42.4394086,-83.381774
858,California,California Other,Lost Angel winery,Lost Angel winery California,Lost Angel winery California Other,37.0408497,-122.0249954
859,California,California Other,Black Box winery,Black Box winery California,Black Box winery California Other,42.4923642,-83.4678702
860,Paso Robles,Central Coast,Twisted Sisters winery,Twisted Sisters winery Paso Robles,Twisted Sisters winery Central Coast,35.73077749999999,-120.6235954
861,Dry Creek Valley,Sonoma,Plungerhead winery,Plungerhead winery Dry Creek Valley,Plungerhead winery Sonoma,38.65291,-122.924876
862,California,California Other,Rare winery,Rare winery California,Rare winery California Other,37.6885903,-122.406131
863,Central Coast,Central Coast,Stephen Ross winery,Stephen Ross winery Central Coast,Stephen Ross winery Central Coast,35.2442857,-120.6702622
864,California,California Other,LoveThisLife winery,LoveThisLife winery California,LoveThisLife winery California Other,34.5952618,-120.1401709
865,Horse Heaven Hills,Columbia Valley,Boudreaux Cellars winery,Boudreaux Cellars winery Horse Heaven Hills,Boudreaux Cellars winery Columbia Valley,47.55434409999999,-120.7750235
866,Oakville,Napa,Kirkland Signature winery,Kirkland Signature winery Oakville,Kirkland Signature winery Napa,38.4319437,-122.4026533
867,Yakima Valley,Columbia Valley,:Nota Bene winery,:Nota Bene winery Yakima Valley,:Nota Bene winery Columbia Valley,47.51949219999999,-122.3126666
868,Oakville,Napa,Oakville Winery winery,Oakville Winery winery Oakville,Oakville Winery winery Napa,38.437115,-122.4016405
869,Columbia Valley (WA),Columbia Valley,Kennedy Shah winery,Kennedy Shah winery Columbia Valley (WA),Kennedy Shah winery Columbia Valley,47.7400262,-122.1546965
870,Columbia Valley (WA),Columbia Valley,Charles & Charles winery,Charles & Charles winery Columbia Valley (WA),Charles & Charles winery Columbia Valley,47.5027415,-122.2051956
871,Knights Valley,Sonoma,Bench winery,Bench winery Knights Valley,Bench winery Sonoma,43.1589062,-79.4923482
872,Washington,Washington Other,Disruption winery,Disruption winery Washington,Disruption winery Washington Other,38.6952992,-78.18461169999999
873,California,California Other,Great American Wine Company winery,Great American Wine Company winery California,Great American Wine Company winery California Other,38.2204359,-122.2715957
874,California,California Other,Happy Camper winery,Happy Camper winery California,Happy Camper winery California Other,35.650182,-120.7449239
875,Columbia Valley (WA),Columbia Valley,Hawkins Cellars winery,Hawkins Cellars winery Columbia Valley (WA),Hawkins Cellars winery Columbia Valley,45.7261215,-121.5816939
876,North Coast,North Coast,Marietta Cellars winery,Marietta Cellars winery North Coast,Marietta Cellars winery North Coast,38.7174718,-122.9238691
877,Wahluke Slope,Columbia Valley,Ryan Patrick winery,Ryan Patrick winery Wahluke Slope,Ryan Patrick winery Columbia Valley,47.595222,-120.662761
878,Dry Creek Valley,Sonoma,Vanderbilt winery,Vanderbilt winery Dry Creek Valley,Vanderbilt winery Sonoma,35.555602,-82.5825732
879,Paso Robles,Central Coast,RN Estate winery,RN Estate winery Paso Robles,RN Estate winery Central Coast,35.717958,-120.683377
880,Sta. Rita Hills,Central Coast,RN Estate winery,RN Estate winery Sta. Rita Hills,RN Estate winery Central Coast,35.717958,-120.683377
881,Sonoma Coast,Sonoma,W.H. Smith winery,W.H. Smith winery Sonoma Coast,W.H. Smith winery Sonoma,38.32503210000001,-123.0394037
882,Sonoma Mountain,Sonoma,Bjornstad winery,Bjornstad winery Sonoma Mountain,Bjornstad winery Sonoma,38.367125,-122.604111
883,Calistoga,Napa,Chase winery,Chase winery Calistoga,Chase winery Napa,38.487485,-122.4685237
884,Fiddletown,Sierra Foothills,Terre Rouge winery,Terre Rouge winery Fiddletown,Terre Rouge winery Sierra Foothills,38.5203473,-120.8238529
885,Santa Ynez Valley,Central Coast,Whitcraft winery,Whitcraft winery Santa Ynez Valley,Whitcraft winery Central Coast,34.4174971,-119.6812969
886,Paso Robles,Central Coast,Nicora winery,Nicora winery Paso Robles,Nicora winery Central Coast,35.576625,-120.689007
887,Oregon,Oregon Other,Windy Bay winery,Windy Bay winery Oregon,Windy Bay winery Oregon Other,45.707775,-123.863922
888,Santa Cruz Mountains,Central Coast,Clos La Chance winery,Clos La Chance winery Santa Cruz Mountains,Clos La Chance winery Central Coast,37.0726504,-121.6429343
889,Rogue Valley,Southern Oregon,Foris winery,Foris winery Rogue Valley,Foris winery Southern Oregon,42.118373,-123.550604
890,Sonoma Coast,Sonoma,Benziger winery,Benziger winery Sonoma Coast,Benziger winery Sonoma,38.3608081,-122.5427163
891,Dry Creek Valley,Sonoma,Bella winery,Bella winery Dry Creek Valley,Bella winery Sonoma,38.7059111,-122.9807722
892,Dry Creek Valley,Sonoma,Williamson Wines winery,Williamson Wines winery Dry Creek Valley,Williamson Wines winery Sonoma,38.6105424,-122.868778
893,Lodi,Central Valley,Howling Moon winery,Howling Moon winery Lodi,Howling Moon winery Central Valley,38.139334,-121.215829
894,Alexander Valley,Sonoma,La Storia winery,La Storia winery Alexander Valley,La Storia winery Sonoma,38.6793634,-122.8726734
895,North Fork of Long Island,Long Island,Castello di Borghese winery,Castello di Borghese winery North Fork of Long Island,Castello di Borghese winery Long Island,41.017492,-72.5066044
896,Shenandoah Valley (CA),Sierra Foothills,Easton winery,Easton winery Shenandoah Valley (CA),Easton winery Sierra Foothills,38.5203473,-120.8238529
897,Wahluke Slope,Columbia Valley,Gilbert Cellars winery,Gilbert Cellars winery Wahluke Slope,Gilbert Cellars winery Columbia Valley,46.5578827,-120.6608625
898,Finger Lakes,Finger Lakes,Glenora winery,Glenora winery Finger Lakes,Glenora winery Finger Lakes,42.5000667,-76.9237833
899,Willamette Valley,Willamette Valley,Anam Cara winery,Anam Cara winery Willamette Valley,Anam Cara winery Willamette Valley,45.3022333,-122.9789191
900,Dundee Hills,Willamette Valley,Archery Summit winery,Archery Summit winery Dundee Hills,Archery Summit winery Willamette Valley,45.2582549,-123.0471345
901,California,California Other,Cartlidge & Browne winery,Cartlidge & Browne winery California,Cartlidge & Browne winery California Other,38.4046475,-122.8199533
902,Sonoma County,Sonoma,Kenwood winery,Kenwood winery Sonoma County,Kenwood winery Sonoma,38.416739,-122.543335
903,Sonoma County,Sonoma,Parkers Estate winery,Parkers Estate winery Sonoma County,Parkers Estate winery Sonoma,38.5706909,-122.7774823
904,Bennett Valley,Sonoma,Frostwatch winery,Frostwatch winery Bennett Valley,Frostwatch winery Sonoma,38.403388,-122.643466
905,Paso Robles,Central Coast,Castoro Cellars winery,Castoro Cellars winery Paso Robles,Castoro Cellars winery Central Coast,35.5772607,-120.722921
906,Sierra Foothills,Sierra Foothills,French Hill winery,French Hill winery Sierra Foothills,French Hill winery Sierra Foothills,38.4936839,-122.4037764
907,Paso Robles,Central Coast,Kaleidos winery,Kaleidos winery Paso Robles,Kaleidos winery Central Coast,35.57534,-120.6895424
908,Sonoma County,Sonoma,Sonoma Crest winery,Sonoma Crest winery Sonoma County,Sonoma Crest winery Sonoma,38.4270935,-122.8430707
909,Russian River Valley,Sonoma,Miro winery,Miro winery Russian River Valley,Miro winery Sonoma,38.4836416,-122.8175328
910,Livermore Valley,Central Coast,Murrieta's Well winery,Murrieta's Well winery Livermore Valley,Murrieta's Well winery Central Coast,37.6589526,-121.7345797
911,Paso Robles,Central Coast,Opolo winery,Opolo winery Paso Robles,Opolo winery Central Coast,35.5918484,-120.8157511
912,Napa Valley,Napa,Robert Biale winery,Robert Biale winery Napa Valley,Robert Biale winery Napa,38.3491752,-122.303323
913,Russian River Valley,Sonoma,Spell winery,Spell winery Russian River Valley,Spell winery Sonoma,38.4836416,-122.8175328
914,North Coast,North Coast,Jayson winery,Jayson winery North Coast,Jayson winery North Coast,38.6116939,-122.8713007
915,Paso Robles,Central Coast,Joseph Carr winery,Joseph Carr winery Paso Robles,Joseph Carr winery Central Coast,34.4225081,-119.6876811
916,Napa Valley,Napa,Krupp Brothers winery,Krupp Brothers winery Napa Valley,Krupp Brothers winery Napa,38.3482601,-122.2799107
917,Walla Walla Valley (WA),Columbia Valley,Pepper Bridge winery,Pepper Bridge winery Walla Walla Valley (WA),Pepper Bridge winery Columbia Valley,46.01271999999999,-118.370401
918,Columbia Valley (WA),Columbia Valley,Forgeron winery,Forgeron winery Columbia Valley (WA),Forgeron winery Columbia Valley,46.063531,-118.3381919
919,Napa Valley,Napa,Sterling winery,Sterling winery Napa Valley,Sterling winery Napa,38.5683431,-122.5488618
920,Walla Walla Valley (WA),Columbia Valley,Spring Valley Vineyard winery,Spring Valley Vineyard winery Walla Walla Valley (WA),Spring Valley Vineyard winery Columbia Valley,46.0674085,-118.3397521
921,Sonoma Coast,Sonoma,MacPhail winery,MacPhail winery Sonoma Coast,MacPhail winery Sonoma,38.32503210000001,-123.0394037
922,Columbia Valley (WA),Columbia Valley,Nefarious winery,Nefarious winery Columbia Valley (WA),Nefarious winery Columbia Valley,47.8410405,-120.0973639
923,Columbia Valley (WA),Columbia Valley,DeLille winery,DeLille winery Columbia Valley (WA),DeLille winery Columbia Valley,47.73447969999999,-122.1491583
924,Napa Valley,Napa,Turley winery,Turley winery Napa Valley,Turley winery Napa,38.5402074,-122.506804
925,Paso Robles,Central Coast,Turley winery,Turley winery Paso Robles,Turley winery Central Coast,35.5535739,-120.7513556
926,Napa Valley,Napa,Whitehall Lane winery,Whitehall Lane winery Napa Valley,Whitehall Lane winery Napa,38.477577,-122.4376231
927,Ancient Lakes,Columbia Valley,Milbrandt winery,Milbrandt winery Ancient Lakes,Milbrandt winery Columbia Valley,46.2195003,-119.7782864
928,Columbia Valley (WA),Columbia Valley,Nine Hats winery,Nine Hats winery Columbia Valley (WA),Nine Hats winery Columbia Valley,47.5679288,-122.3352999
929,Washington,Washington Other,Rôtie Cellars winery,Rôtie Cellars winery Washington,Rôtie Cellars winery Washington Other,47.567952,-122.334745
930,Sonoma County,Sonoma,Picket Fence winery,Picket Fence winery Sonoma County,Picket Fence winery Sonoma,38.29310450000001,-122.4592436
931,Napa Valley,Napa,Taken Wine Co. winery,Taken Wine Co. winery Napa Valley,Taken Wine Co. winery Napa,38.5061892,-122.4722111
932,Amador County,Sierra Foothills,Terra d'Oro winery,Terra d'Oro winery Amador County,Terra d'Oro winery Sierra Foothills,38.509501,-120.801595
