,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery_name,Latitude,Longitude,Min_temp,Max_temp,Precip,Humidity,Heat_Index,review_neg,review_neu,review_pos
3374,US,"Combined with 20% Grenache, this full-bodied, fruit-forward wine brings sweet aromas and flavors of raspberry jam and plum. Aged in mostly neutral oak, it possesses purity that carries through the finish.",,90,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2012 Syrah (Columbia Valley (WA)),Syrah,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.909,0.091
3375,US,"Blended with 20% Grenache, this wine displays somewhat reticent aromas of cranberry, baking spice, raspberry and plum. The cherry flavors are rich with the tannins initially showing a touch of astringency that softens over time.",,89,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2014 Syrah (Columbia Valley (WA)),Syrah,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.902,0.098
3376,US,"A blend of fruit from Schmitt, Evergreen and Oasis vineyards, this opens with appealing aromas of toast, candy corn, almond and pear. The pear and melon flavors are crisp and rounded, with a lightly creamy feel heightening the interest.",,91,22,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2016 Chardonnay (Columbia Valley (WA)),Chardonnay,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.923,0.077
3377,US,"This wine is a blend of Evergreen, Schmitt and Oasis vineyards. It displays a mixture of butter, tropical fruit and red-apple aromas that lead to creamy feeling flavors and a drawn-out finish that impresses.",,90,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.863,0.137
3378,US,"In this cooler vintage, Syrah reveals more of its herbal, leafy side. Along with wild blueberry fruit come streaks of herb, green tomato and wet stems.",,88,25,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2011 Syrah (Columbia Valley (WA)),Syrah,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,1,0
3379,US,"This pure, Columbia Valley Cabernet is blended from a variety of widely separated vineyards. The fruit is forward, pushing black cherry and cola notes to the front of the palate, layering in a streak of milk chocolate, and finishing with smooth, supple tannins.",,88,32,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2009 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,1,0
3380,US,"Combined with 20% Grenache, this full-bodied, fruit-forward wine brings sweet aromas and flavors of raspberry jam and plum. Aged in mostly neutral oak, it possesses purity that carries through the finish.",,90,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2012 Syrah (Columbia Valley (WA)),Syrah,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.909,0.091
3381,US,"Hailing from 11 different vineyards located across the Columbia Valley, this appealing, 100% varietal wine provides aromas of toasty spices, dried herbs, cocoa and jammy dark fruit. The cranberry, coffee and blackberry flavors are sweet and focused, backed by chewy, lightly dry tannins that need time to soften.",,89,32,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2012 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.87,0.13
3382,US,"Blended with 16% Sauvignon Blanc, this wine brings notes of herb, fig and spice. The palate is full and well balanced, showing a touch of warmth on the finish.",,89,15,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2015 Semillon (Columbia Valley (WA)),Sémillon,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.836,0.164
3383,US,"This wine is a blend of Bordeaux and Rhône varieties with Merlot (30%) and Syrah (24%) taking the lead. Aromas of raspberry, dark plum and black fruit are followed by plentiful dark-fruit flavors. It's unabashed in its easy drinking appeal.",Frenchtown,90,23,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2014 Frenchtown Red (Columbia Valley (WA)),Red Blend,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.929,0.071
3384,US,"L'Ecole has been carrying the banner for Washington Chenin high since 1987. Coming from vineyards planted in 1978 and 1979, the aromas are fresh and lively, with notes of sliced pear, passion fruit, flower and apple. The palate is full in feel and redolent with fruit flavors that sail on the finish. It's a one-wine charm offensive.",Old Vines,90,15,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2016 Old Vines Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0.046,0.786,0.168
3385,US,"This is pure Chardonnay, from cool-climate sites, showing a lean, sculpted spine that both defines and expands the flavors. Exceptionally complex for Washington Chardonnay, with good natural acidity, a mix of peach, apple and pineapple fruit, and a finish that shows tight layering. There is a dense core that should unravel with bottle age; this is that rare Washington Chardonnay that will prosper with cellaring.",,91,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2009 Chardonnay (Columbia Valley (WA)),Chardonnay,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.895,0.105
3386,US,"This is a beautiful wine from the nose on out. Complex and aromatic, it has Italian-style tobacco scents, fresh acidity, leafy highlights, and undertones of tar, licorice and clove, all wrapped around tart, pie cherry fruit.",,91,28,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2007 Merlot (Columbia Valley (WA)),Merlot,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.842,0.158
3387,US,"This new vineyard-designate blends Cabernet Sauvignon and Merlot in roughly equal proportions, from a site adjacent to Red Mountain. Generous, deeply colored, and even more deeply flavored, this supple and aromatic wine—currently a wine club selection—deserves to be more widely distributed.",Candy Mountain Vineyard Red,91,39,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2010 Candy Mountain Vineyard Red Cabernet Sauvignon-Merlot (Columbia Valley (WA)),Cabernet Sauvignon-Merlot,L'Ecole No. 41 winery,46.0568338,-118.5813226,-0.3,114.4,14.37,57.47,106.9,0,0.92,0.08
3749,US,"This wine brings aromas of blackberry, dates and spice. The palate displays abundant cherry flavors with lightly chalky tannins.",,90,45,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Va Piano 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,1,0
3750,US,"Va Piano has introduced a stellar series of single-vineyard Syrahs. But if you had to pick just one, it would have to be this massive, beautifully structured bottle from Les Collines vineyard. Concentrated boysenberry fruit leads into a firm, sleek, subtle wine with even deeper flavors of black cherry, chocolate, espresso and baking spices.",Les Collines,95,65,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2011 Les Collines Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,0.91,0.09
3751,US,"Almost jet black, this single-vineyard reserve sports marvelously complex aromas of smoked meat and dark fruits. Those perfectly ripened and layered berry, black cherry and cassis flavors are wrapped in slightly smoky, super-smooth tannins.",Les Collines,94,65,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2012 Les Collines Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,0.887,0.113
3752,US,"Spice rules this pure, estate-grown Syrah, which boasts a classic nose with streaks of compost, cured meats and oolong tea. Though the stem and herb flavors are abundant, they are swaddled in ripe black  fruits and highlighted with licorice and coffee grounds from 22 months in barrel.",Estate,92,48,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2009 Estate Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,1,0
3753,US,"Only estate-grown grapes go into this blend that's one third each Cab Franc and Merlot, plus one third a mix of Cabernet Sauvignon and Petit Verdot. It's already drinking well, with super fruit concentration bringing raspberry, blueberry and cherry together in a wine finished with luscious chocolaty oak flavors. Smooth and forward, it gathers itself and focuses through an engaging finish.",Estate Uniti Red,92,48,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2009 Estate Uniti Red Red (Walla Walla Valley (WA)),Red Blend,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,0.87,0.13
3754,US,"Rich and aromatic, this black label reserve displays excellent power and concentration. A dense core of cassis, licorice and espresso is brightened with vivid acidity, slowing fading through a long, smoky finish. Wait until 2016 for optimum enjoyment.",Estate Vineyard,92,60,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2011 Estate Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,0.696,0.304
3755,US,"This wine brings aromas of blackberry, dates and spice. The palate displays abundant cherry flavors with lightly chalky tannins.",,90,45,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Va Piano 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,1,0
3756,US,"Aromas of plum, violets, orange peel, earth and herb are followed by palate-staining fruit flavors. A lengthy finish caps it off.",,92,50,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Va Piano 2014 Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,1,0
3757,US,"Full bodied and fruity, the 2010 estate Syrah from Va Piano is rounder and less herbal than the 2009. Which style you enjoy is a matter of individual preference. Big and approachable, with lovely blueberry fruit, the 2010 seems to stop a bit short, but with more bottle age may reveal details that are currently in hiding.",Estate,90,48,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2010 Estate Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0.073,0.834,0.093
3758,US,"Picked a bit soon due to an early freeze in 2009, this had plenty of sugar ripeness but lost a bit of the complexity that extra time on the vine can bring. Fruit forward with flavors of boysenberry and some brown sugar, this is a wine to enjoy while it's young and fresh.",Estate,88,48,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2009 Estate Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0.051,0.803,0.146
3759,US,"Coming from one of the state's premier Syrah vineyards, the aromas of violets, dried herbs, brown stems and smoked meat pop. The fruit and savory flavors show an exquisite sense of balance that persists through the extended finish.",Les Collines Vineyard,92,65,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Va Piano 2013 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,1,0
3760,US,"Herb, stem, green olive and floral aromas lead to generous fruit and savory flavors that carry though the finish. It shows a lot of finesse and a beautiful sense of balance.",Stoney Vine Vineyard Black Label,92,65,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Va Piano 2014 Stoney Vine Vineyard Black Label Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0,0.789,0.211
3761,US,"Full bodied and fruity, the 2010 estate Syrah from Va Piano is rounder and less herbal than the 2009. Which style you enjoy is a matter of individual preference. Big and approachable, with lovely blueberry fruit, the 2010 seems to stop a bit short, but with more bottle age may reveal details that are currently in hiding.",Estate,90,48,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Va Piano 2010 Estate Syrah (Walla Walla Valley (WA)),Syrah,Va Piano winery,46.003999,-118.371124,-0.8,114.5,17.07,57.74,106,0.073,0.834,0.093
3778,US,"This warm-vintage wine is more aromatically reticent than recent vintages, with notes of stone fruit, slate and mineral. It drinks a hair off dry, with depth to the lightly spritzy fruit flavors and razor-sharp acidity.",,90,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Poet's Leap 2014 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,1,0
3779,US,"This shows lively acidity, with ripe but tart fruit and an alcohol level just slightly above 12%. The grapes used were sourced from the Benches (German clones) and old vine plantings at Dionysus. It's a lush Poet's Leap, lightly tasting of honey, and loaded with pretty flavors of Meyer lemon, ripe orange, and candied pineapple.",,92,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2011 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.893,0.107
3780,US,"This wine's aromas are bright, with honeysuckle, ripe peach, mandarin orange, slate and lime zest notes. It drinks just off dry, with abundant stone fruit flavors, mouthwatering acidity and a balance that's spot-on.",,90,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Poet's Leap 2016 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.914,0.086
3781,US,"Deep gold, the color of honey, picked at 53° brix, this is unbelievably dense and concentrated. Yet with the acidity in place, this wine has balance, support, and depth. It's not a fat, sugary blob. This drinks like a Canadian icewine. Honey, tropical fruits, candied orange, butterscotch, butter and toasted nuts—it just keeps on going.",Ice Wine,95,85,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2008 Ice Wine Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.907,0.093
3782,US,"One of the consistently finest Rieslings from the state, this is technically off dry, but feels dry given its exceptional acidity. Elegant citrus and floral aromas introduce a dense, textural midpalate. A showcase of style and panache, its layered citrus and stone fruits bring both skin and flesh flavors into focus.",,93,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2013 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.92,0.08
3783,US,"Half of this year's Poet's Leap Riesling is sourced from The Benches, one quarter from old-vine plantings at Dionysus, and the rest from Yakima's Phil Church vineyard. Marvelous concentration and a panoply of lush orange, apricot, peach and papaya flavors carry this beautifully balanced wine through a long and satisfying finish. Delicious young, it could also be cellared for a decade or longer.",,94,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2012 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.789,0.211
3784,US,"Half of this year's Poet's Leap Riesling is sourced from The Benches, one quarter from old-vine plantings at Dionysus, and the rest from Yakima's Phil Church vineyard. Marvelous concentration and a panoply of lush orange, apricot, peach and papaya flavors carry this beautifully balanced wine through a long and satisfying finish. Delicious young, it could also be cellared for a decade or longer.",,94,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2012 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.789,0.211
3785,US,"This wine's aromas are bright, with honeysuckle, ripe peach, mandarin orange, slate and lime zest notes. It drinks just off dry, with abundant stone fruit flavors, mouthwatering acidity and a balance that's spot-on.",,90,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Poet's Leap 2016 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.914,0.086
3786,US,"Loaded with honeysuckle, melon, pear, peach and hints of sweet grapefruit, this juicy wine perfectly captures the intensity of Washington Riesling and the complexity of German wines. Buoyant and precise, with notes of chalk and limestone in the finish, this is a stunning achievement in a challenging vintage.",,94,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2007 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.755,0.245
3787,US,"From an especially cool vintage that favored acidity and citrus, this Poet's Leap is a pretty wine, vibrant and full across the palate, with a mix of apple and peach flavors. Clean and balanced, it adds nuances of tea and finally a hint of honey in the extended finish.",,93,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2010 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.736,0.264
3788,US,"This wine leaps out of the glass with aromas of peach, wet stone, lime and high-toned flowers. The palate drinks off dry, with vibrant stone-fruit and floral flavors that linger on the finish.",,89,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Poet's Leap 2015 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0,0.904,0.096
3789,US,"With residual sugar at about 1.35%, this balances the acidity without seeming sweet. Hand-picked and whole-cluster pressed, this immaculate, fresh, generous and stylish Riesling is always at the top of the list of Washington's best. Loaded with grapefruit, citrus and stone flavors, it cleans the palate and piles on the details as it rolls into a finish that lingers for well over a full minute.",,95,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Poet's Leap 2009 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap winery,46.069996,-118.4900798,-0.3,114.8,15.49,57.45,106.7,0.034,0.779,0.187
3820,US,"All varietal, this wine offers unique aromas of toast, fig, dried herb and exotic spice. The purple fruit flavors are deft in style with a pleasing sense of balance, length and texture.",McClellan Estate Vineyard,90,30,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2013 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.898,0.102
3821,US,"An earthy, leathery, spicy nose dominates this 100% Cabernet from 17-year-old vines. This is an elegant, complex, earthy wine, beautifully balanced with classic cassis laced with leather, barnyard, coffee, smoke and spice. 180 cases made.",Seven Hills Vineyard Reserve,91,32,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Seven Hills Vineyard Reserve Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.8,0.2
3822,US,"Blended with a small amount of Merlot (10%), this wine sends up a classic bouquet of cassis and berry, with a nice hint of mint. It’s well crafted, but tight and a little hard yet, especially in the finish. Built for aging.",Seven Hills Vineyard,89,25,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Seven Hills Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0.029,0.884,0.087
3823,US,"Blueberries, plums, and especially cherries, with a lovely, soft, beguiling bouquet of rose blossoms and chocolate. Crisply structured, with tight fruit, soft tannins, and a medium-weight, extended finish.",Seven Hills Vineyard,89,25,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),Merlot,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.86,0.14
3824,US,"Green herb, barrel spice, clove and cherry aromas intermingle and lead to a highly structured palate, with supple fruit flavors. It might be a touch green for some tastes.",McClellan Estate,90,45,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2014 McClellan Estate Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,1,0
3825,US,"The aromas begin with a pretty violet character, around plum and smoke. Flavors are tightly wound and balanced, with sharp acids. This slowly opens over many hours of breathing time to unveil smooth, soft fruit, light herbs, pretty floral highlights and great texture.",Pentad,93,50,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2007 Pentad Red (Walla Walla Valley (WA)),Red Blend,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.788,0.212
3826,US,"Casey McClellan blended 15% Merlot into this vintage—the most ever—and has crafted a bright, sappy wine with vivid flavors of spiced apples and raspberries. There's a distinct scent of cinnamon, perhaps from the use of Hungarian oak barrels, (30% new.) Thoroughly delicious and surprisingly deep in this lighter vintage.",,91,30,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2011 Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0.037,0.791,0.172
3827,US,"The aromas don't hold back, with strong varietal notes of jalapeño and freshly cut green pepper along with cherry and hot-spice accents. The palate brings more of the same with light, tart, bright fruit flavors. Put it on the dinner table to see it at its best.",,89,35,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2014 Carmenère (Walla Walla Valley (WA)),Carmenère,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0.038,0.775,0.187
3828,US,"Pure, almost crystalline in its expression of fruit, this 100% Malbec captures the essence of mountain berries. Juicy and perfectly balanced, it suggests a range of notes from tangerine to blueberry to wild raspberry, with lightly peppery, fine-grained tannins.",,92,25,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2009 Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.898,0.102
3829,US,"This is unusually smooth and silky for Petit Verdot, which is often used in small amounts for blending. This is 100% varietal, with the floral aroma of the grape matched to deep flavors of cassis and smoky espresso. The tannin management is spot on.",,92,32,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2009 Petite Verdot (Walla Walla Valley (WA)),Petite Verdot,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,1,0
3830,US,"Pure Malbec, sourced from the McClellan estate and Minnick Hills vineyards, this is a tight and well-crafted mix of flavors—fig, blackberry, blueberry jam, a whiff of dried herb and white pepper, and tannins grounded in clean earth. The aging, principally Hungarian oak, brings in coffee highlights.",,90,30,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2012 Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.941,0.059
3831,US,"Dark, bold, and full-bodied, this is the perfect embodiment of power and breed in a full-on (five grape) Bordeaux blend. Boysenberry, cassis, plenty of acidity—the nose promises a great deal, though it is reticent in the mouth, and fairly acidic. This is a wine to lay down and enjoy in a decade.",Pentad Red Wine,93,50,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2006 Pentad Red Wine Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.726,0.274
3832,US,"Though Cabernets Sauvignon and Franc each make up just 3% of this wine, they seem to show themselves aromatically, with herb and floral notes that provide the backdrop for Merlot's cocoa and cherry. The red fruit flavors are plump and juicy, backed by bright acid that leads to a long, fruit filled finish. It doesn't always come off as completely varietal but it's nearly impossible to resist all the same.",Seven Hills Vineyard,91,40,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2013 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),Merlot,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.957,0.043
3833,US,"This 100% varietal wine is blend of Minnick Hills (66%) and Morrison vineyards. An intriguing mix of dried herbs, poblano pepper, pink peppercorn and red fruit is kissed by barrel accents and meaty notes. The acid is bright, the feel supple and the finish extended. Drink now.",,90,30,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2012 Carmenère (Walla Walla Valley (WA)),Carmenère,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.891,0.109
3834,US,"It's rare to find a pure varietal example that all comes from a single site. This one offers aromas of flowers, moist soil, purple fruit and exotic spice followed by a dense, almost impenetrable palate that offers freshness and length. It's a standout example of the variety.",McClellan Estate Vineyard,91,35,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2013 McClellan Estate Vineyard Petit Verdot (Walla Walla Valley (WA)),Petit Verdot,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,1,0
3835,US,"Two-thirds Cabernet Sauvignon with the balance Petit Verdot, Merlot, Malbec and Carménère, this brooding wine brings aromas of moist soil, herb, black tea, eucalyptus, fig and spice. It's full in feel, tart and tightly wound with bright acids and chewy tannins—a wine intended for the long haul. Enjoy after 2020.",Pentad,92,75,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2012 Pentad Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.867,0.133
3836,US,"All varietal, the aromas come off as a bit green, with notes of leafy fresh herbs, green tea, cedar and spice that haven't yet fully blossomed. The dark fruit flavors are generous while showing restraint and balance.",Seven Hills Vineyard,90,45,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2013 Seven Hills Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Seven Hills winery,46.0685612,-118.3423658,-0.9,115,16.61,57.52,106.4,0,0.859,0.141
